Time,Mean Range
2024-01-07 18:43:38.633917,inf
2024-01-07 18:43:38.834004,inf
2024-01-07 18:43:39.034201,inf
2024-01-07 18:43:39.234535,inf
2024-01-07 18:43:39.438251,inf
2024-01-07 18:43:39.638666,inf
2024-01-07 18:43:39.839574,inf
2024-01-07 18:43:40.040070,inf
2024-01-07 18:43:40.240764,inf
2024-01-07 18:43:40.442081,inf
2024-01-07 18:43:40.643297,inf
2024-01-07 18:43:40.844962,inf
2024-01-07 18:43:41.045521,inf
2024-01-07 18:43:41.246285,inf
2024-01-07 18:43:41.446552,inf
2024-01-07 18:43:41.647225,inf
2024-01-07 18:43:41.847320,inf
2024-01-07 18:43:42.054257,inf
2024-01-07 18:43:42.255812,inf
2024-01-07 18:43:42.455991,inf
2024-01-07 18:43:42.656909,inf
2024-01-07 18:43:42.857830,inf
2024-01-07 18:43:43.070911,inf
2024-01-07 18:43:43.271513,inf
2024-01-07 18:43:43.472180,inf
2024-01-07 18:43:43.673167,inf
2024-01-07 18:43:43.879243,inf
2024-01-07 18:43:44.081682,0.537600020567576
2024-01-07 18:43:44.282607,0.5084000209967295
2024-01-07 18:43:44.482695,0.4931333522001902
2024-01-07 18:43:44.684316,0.44913335641225177
2024-01-07 18:43:44.885639,0.4408666869004568
2024-01-07 18:43:45.086174,inf
2024-01-07 18:43:45.288949,0.442600021759669
2024-01-07 18:43:45.489402,0.4668666879336039
2024-01-07 18:43:45.701260,inf
2024-01-07 18:43:45.901525,inf
2024-01-07 18:43:46.107492,inf
2024-01-07 18:43:46.307616,inf
2024-01-07 18:43:46.507787,inf
2024-01-07 18:43:46.715878,inf
2024-01-07 18:43:46.917629,0.5309333562850952
2024-01-07 18:43:47.118338,inf
2024-01-07 18:43:47.318563,inf
2024-01-07 18:43:47.519071,inf
2024-01-07 18:43:47.719280,inf
2024-01-07 18:43:47.919685,inf
2024-01-07 18:43:48.120629,inf
2024-01-07 18:43:48.323839,inf
2024-01-07 18:43:48.524352,inf
2024-01-07 18:43:48.725024,inf
2024-01-07 18:43:48.931518,inf
2024-01-07 18:43:49.132948,inf
2024-01-07 18:43:49.333655,0.545466689268748
2024-01-07 18:43:49.534133,inf
2024-01-07 18:43:49.734286,inf
2024-01-07 18:43:49.934705,inf
2024-01-07 18:43:50.147010,inf
2024-01-07 18:43:50.347045,inf
2024-01-07 18:43:50.555283,inf
2024-01-07 18:43:50.755916,inf
2024-01-07 18:43:50.956200,inf
2024-01-07 18:43:51.157912,inf
2024-01-07 18:43:51.358538,inf
2024-01-07 18:43:51.559406,inf
2024-01-07 18:43:51.759835,inf
2024-01-07 18:43:51.961796,inf
2024-01-07 18:43:52.164224,inf
2024-01-07 18:43:52.366622,inf
2024-01-07 18:43:52.566853,inf
2024-01-07 18:43:52.773926,inf
2024-01-07 18:43:52.998104,inf
2024-01-07 18:43:53.206381,inf
2024-01-07 18:43:53.442242,inf
2024-01-07 18:43:53.652592,inf
2024-01-07 18:43:53.863828,inf
2024-01-07 18:43:54.064784,inf
2024-01-07 18:43:54.267652,inf
2024-01-07 18:43:54.471419,0.5016666968663533
2024-01-07 18:43:54.671444,inf
2024-01-07 18:43:54.871643,inf
2024-01-07 18:43:55.071792,inf
2024-01-07 18:43:55.271875,inf
2024-01-07 18:43:55.471980,inf
