Time,Mean Range
2024-01-08 16:28:33.037157,inf
2024-01-08 16:28:34.037464,inf
2024-01-08 16:28:35.037638,inf
2024-01-08 16:28:36.037918,inf
2024-01-08 16:28:37.038030,inf
2024-01-08 16:28:38.038103,inf
2024-01-08 16:32:54.363425,inf
2024-01-08 16:32:55.363539,inf
2024-01-08 16:32:56.366409,inf
2024-01-08 16:32:57.366673,inf
2024-01-08 16:32:58.366762,inf
2024-01-08 16:32:59.366860,inf
2024-01-08 16:33:00.366890,inf
2024-01-08 16:33:01.367506,inf
2024-01-08 16:33:02.367664,inf
2024-01-08 16:33:03.367945,inf
2024-01-08 16:33:04.367961,inf
2024-01-08 16:33:05.368386,inf
2024-01-08 16:33:06.368709,inf
2024-01-08 16:33:07.368727,0.2292666773001353
2024-01-08 16:33:08.368972,inf
2024-01-08 16:33:09.368984,inf
2024-01-08 16:33:10.369075,inf
2024-01-08 16:33:11.369592,inf
2024-01-08 16:33:12.369691,inf
2024-01-08 16:33:13.370178,inf
2024-01-08 16:33:14.370517,inf
2024-01-08 16:33:15.389314,inf
2024-01-08 16:33:16.390443,inf
2024-01-08 16:33:17.391280,inf
2024-01-08 16:33:18.391373,inf
2024-01-08 16:33:19.391603,0.4640666862328847
2024-01-08 16:33:20.391879,inf
2024-01-08 16:33:21.392339,inf
2024-01-08 16:33:22.392430,inf
2024-01-08 16:33:23.392652,inf
2024-01-08 16:33:24.392813,inf
2024-01-08 16:33:25.392855,inf
2024-01-08 16:33:26.393117,inf
2024-01-08 16:33:27.393455,inf
2024-01-08 16:33:28.393678,inf
2024-01-08 16:33:29.394060,inf
2024-01-08 16:33:30.394191,inf
2024-01-08 16:33:31.394557,inf
2024-01-08 16:33:32.394699,inf
2024-01-08 16:33:33.395010,inf
2024-01-08 16:33:34.395335,inf
2024-01-08 16:33:35.396696,inf
2024-01-08 16:33:36.396907,inf
2024-01-08 16:33:37.397802,inf
2024-01-08 16:33:38.398860,inf
2024-01-08 16:33:39.399186,inf
2024-01-08 16:33:40.399307,inf
2024-01-08 16:33:41.399595,inf
2024-01-08 16:33:42.399691,inf
2024-01-08 16:33:43.400726,inf
2024-01-08 16:33:44.401085,inf
2024-01-08 16:33:45.401100,inf
2024-01-08 16:33:46.401403,inf
2024-01-08 16:33:47.401721,inf
2024-01-08 16:33:48.402137,inf
2024-01-08 16:33:49.402225,inf
2024-01-08 16:33:50.402495,inf
2024-01-08 16:33:51.403975,inf
2024-01-08 16:33:52.404431,inf
2024-01-08 16:33:53.404736,inf
2024-01-08 16:33:54.405011,inf
2024-01-08 16:33:55.405916,inf
2024-01-08 16:33:56.406221,inf
2024-01-08 16:33:57.406954,inf
2024-01-08 16:33:58.407545,inf
2024-01-08 16:33:59.407923,inf
2024-01-08 16:34:00.407953,inf
2024-01-08 16:34:01.408518,inf
2024-01-08 16:34:02.408896,inf
2024-01-08 16:34:03.408959,inf
2024-01-08 16:34:04.409147,inf
2024-01-08 16:34:05.409751,inf
2024-01-08 16:34:06.410720,inf
2024-01-08 16:34:07.411165,inf
2024-01-08 16:34:08.411409,inf
2024-01-08 16:34:09.411456,inf
2024-01-08 16:34:10.411776,inf
2024-01-08 16:34:11.411872,inf
2024-01-08 16:34:12.412182,inf
2024-01-08 16:34:13.412636,inf
2024-01-08 16:34:14.412665,inf
2024-01-08 16:34:15.412705,inf
2024-01-08 16:34:16.412955,inf
2024-01-08 16:34:17.413587,inf
2024-01-08 16:34:18.414112,inf
2024-01-08 16:34:19.414226,inf
2024-01-08 16:34:20.414870,inf
2024-01-08 16:34:21.415187,inf
2024-01-08 16:34:22.415673,inf
2024-01-08 16:34:23.415901,inf
2024-01-08 16:34:24.416279,inf
2024-01-08 16:34:25.416690,inf
2024-01-08 16:34:26.417183,inf
2024-01-08 16:34:27.420326,inf
2024-01-08 16:34:28.420385,inf
2024-01-08 16:34:29.420511,inf
2024-01-08 16:34:30.420610,inf
2024-01-08 16:34:31.420953,inf
2024-01-08 16:34:32.421125,inf
2024-01-08 16:34:33.422030,inf
2024-01-08 16:34:34.423220,inf
2024-01-08 16:34:35.423392,inf
2024-01-08 16:34:36.423432,inf
2024-01-08 16:34:37.423765,inf
2024-01-08 16:34:38.423939,inf
2024-01-08 16:34:39.424081,inf
2024-01-08 16:34:40.424338,inf
2024-01-08 16:34:41.424590,inf
2024-01-08 16:34:42.425037,0.32373334765434264
