Time,Mean Range
2024-01-09 11:08:38.331892,inf
2024-01-09 11:08:39.332331,inf
2024-01-09 11:08:40.332586,inf
2024-01-09 11:08:41.332633,inf
2024-01-09 11:08:42.332649,inf
2024-01-09 11:08:43.332687,inf
2024-01-09 11:08:44.332691,inf
2024-01-09 11:08:45.332819,inf
2024-01-09 11:08:46.332909,inf
2024-01-09 11:08:47.333024,inf
2024-01-09 11:08:48.333184,inf
2024-01-09 11:08:49.333272,inf
2024-01-09 11:08:50.333409,inf
2024-01-09 11:08:51.333539,inf
2024-01-09 11:08:52.333680,inf
2024-01-09 11:08:53.333867,inf
2024-01-09 11:08:54.333967,inf
2024-01-09 11:08:55.334164,inf
2024-01-09 11:08:56.334207,inf
2024-01-09 11:08:57.334374,inf
2024-01-09 11:08:58.334463,inf
2024-01-09 11:08:59.334537,inf
2024-01-09 11:09:00.334614,inf
2024-01-09 11:09:01.334626,inf
2024-01-09 11:09:02.334646,inf
2024-01-09 11:09:03.334781,inf
2024-01-09 11:09:04.334952,inf
2024-01-09 11:09:05.335100,inf
2024-01-09 11:09:06.335136,inf
2024-01-09 11:09:07.335383,inf
2024-01-09 11:09:08.335588,0.09693333754936855
2024-01-09 11:09:09.335713,0.0950000042716662
2024-01-09 11:09:10.335897,0.08946667065223059
2024-01-09 11:09:11.337569,0.08353333671887715
2024-01-09 11:09:12.337883,0.10260000377893448
2024-01-09 11:09:13.338219,0.10553333908319473
2024-01-09 11:09:14.338288,inf
2024-01-09 11:09:15.339026,inf
2024-01-09 11:09:16.339082,inf
2024-01-09 11:09:17.339359,inf
2024-01-09 11:09:18.339583,0.11760000437498093
2024-01-09 11:09:19.339864,0.11020000576972962
2024-01-09 11:09:20.340219,0.11286667237679164
2024-01-09 11:09:21.340453,inf
2024-01-09 11:09:22.341249,inf
2024-01-09 11:09:23.341716,inf
2024-01-09 11:09:24.342048,inf
2024-01-09 11:09:25.342680,inf
2024-01-09 11:09:26.342689,inf
2024-01-09 11:09:27.343417,inf
2024-01-09 11:09:28.343915,inf
2024-01-09 11:09:29.343934,inf
2024-01-09 11:09:30.344670,inf
2024-01-09 11:09:31.344987,inf
2024-01-09 11:09:32.346091,inf
2024-01-09 11:09:33.346895,inf
2024-01-09 11:09:34.347316,inf
2024-01-09 11:09:35.349996,inf
2024-01-09 11:09:36.350222,inf
2024-01-09 11:09:37.351424,inf
2024-01-09 11:09:38.351652,inf
2024-01-09 11:09:39.351776,inf
2024-01-09 11:09:40.351885,inf
2024-01-09 11:09:41.352487,inf
2024-01-09 11:09:42.352607,inf
2024-01-09 11:09:43.352945,inf
2024-01-09 11:09:44.352947,inf
2024-01-09 11:09:45.353211,inf
2024-01-09 11:09:46.353250,inf
2024-01-09 11:09:47.354183,inf
2024-01-09 11:09:48.355116,inf
2024-01-09 11:09:49.356085,inf
2024-01-09 11:09:50.356130,inf
2024-01-09 11:09:51.356958,inf
2024-01-09 11:09:52.357243,inf
2024-01-09 11:09:53.357374,inf
2024-01-09 11:09:54.357710,inf
2024-01-09 11:09:55.357831,inf
2024-01-09 11:09:56.359022,inf
2024-01-09 11:09:57.359164,inf
2024-01-09 11:09:58.360100,inf
2024-01-09 11:09:59.360435,inf
2024-01-09 11:10:00.361266,inf
2024-01-09 11:10:01.361588,inf
2024-01-09 11:10:02.362034,inf
2024-01-09 11:10:03.362943,0.10413333773612976
2024-01-09 11:10:04.363383,0.15006667375564575
2024-01-09 11:10:05.363386,inf
2024-01-09 11:10:06.363547,inf
2024-01-09 11:10:07.363638,0.14926667312781017
2024-01-09 11:10:08.363725,inf
2024-01-09 11:10:09.363788,inf
2024-01-09 11:10:10.364310,0.17833334108193716
2024-01-09 11:10:11.364496,inf
2024-01-09 11:10:12.364828,inf
2024-01-09 11:10:13.364941,inf
2024-01-09 11:10:14.365127,inf
2024-01-09 11:10:15.365385,inf
2024-01-09 11:10:16.365613,inf
2024-01-09 11:10:17.366427,inf
2024-01-09 11:10:18.367236,inf
2024-01-09 11:10:19.367266,inf
2024-01-09 11:10:20.367391,inf
2024-01-09 11:10:21.367612,inf
2024-01-09 11:10:22.367691,inf
2024-01-09 11:10:23.367771,inf
2024-01-09 11:10:24.368031,inf
2024-01-09 11:10:25.368327,inf
2024-01-09 11:10:26.368447,inf
2024-01-09 11:10:27.368868,inf
2024-01-09 11:10:28.368936,inf
2024-01-09 11:10:29.369246,inf
2024-01-09 11:10:30.369285,inf
2024-01-09 11:10:31.369674,inf
2024-01-09 11:10:32.370085,inf
2024-01-09 11:10:33.370611,inf
2024-01-09 11:10:34.370761,inf
2024-01-09 11:10:35.372337,inf
2024-01-09 11:10:36.372573,inf
2024-01-09 11:10:37.372767,inf
2024-01-09 11:10:38.373162,inf
2024-01-09 11:10:39.373302,inf
2024-01-09 11:10:40.373334,inf
2024-01-09 11:10:41.373431,inf
2024-01-09 11:10:42.373727,inf
2024-01-09 11:10:43.373868,inf
2024-01-09 11:10:44.374469,inf
2024-01-09 11:10:45.375088,inf
2024-01-09 11:10:46.375374,inf
2024-01-09 11:10:47.375618,inf
2024-01-09 11:10:48.376528,inf
2024-01-09 11:10:49.380828,inf
2024-01-09 11:10:50.381080,inf
2024-01-09 11:10:51.381448,inf
2024-01-09 11:10:52.381471,inf
2024-01-09 11:10:53.382197,inf
2024-01-09 11:10:54.382286,inf
2024-01-09 11:10:55.383241,inf
2024-01-09 11:10:56.386208,inf
2024-01-09 11:10:57.386220,inf
2024-01-09 11:10:58.386889,inf
2024-01-09 11:10:59.387234,inf
2024-01-09 11:11:00.387450,inf
2024-01-09 11:11:01.387512,inf
2024-01-09 11:11:02.387652,0.14560000697771708
2024-01-09 11:11:03.387840,inf
2024-01-09 11:11:04.388155,inf
2024-01-09 11:11:05.389089,inf
2024-01-09 11:11:06.389359,inf
2024-01-09 11:11:07.391552,inf
2024-01-09 11:11:08.392038,inf
2024-01-09 11:11:09.392651,inf
2024-01-09 11:11:10.393650,inf
2024-01-09 11:11:11.393916,0.08726667116085689
2024-01-09 11:11:12.394101,inf
2024-01-09 11:11:13.416813,inf
2024-01-09 11:11:14.416961,inf
2024-01-09 11:11:15.417252,inf
2024-01-09 11:11:16.417442,inf
2024-01-09 11:11:17.417953,0.2348666767279307
2024-01-09 11:11:18.418103,0.21620000998179117
2024-01-09 11:11:19.418169,0.18920000692208608
2024-01-09 11:11:20.418341,0.179666672150294
2024-01-09 11:11:21.418950,0.17340000867843627
2024-01-09 11:11:22.419000,inf
2024-01-09 11:11:23.419065,inf
2024-01-09 11:11:24.419081,inf
2024-01-09 11:11:25.420965,0.1923333426316579
2024-01-09 11:11:26.421056,0.19613334437211355
2024-01-09 11:11:27.421119,0.20320001045862834
2024-01-09 11:11:28.421323,inf
2024-01-09 11:11:29.421405,inf
2024-01-09 11:11:30.421757,inf
2024-01-09 11:11:31.421851,0.24820001025994617
2024-01-09 11:11:32.422105,0.2409333457549413
2024-01-09 11:11:33.422867,0.25113334457079567
2024-01-09 11:11:34.423009,inf
2024-01-09 11:11:35.423154,inf
2024-01-09 11:11:36.423635,inf
2024-01-09 11:11:37.423750,inf
2024-01-09 11:11:38.424214,inf
2024-01-09 11:11:39.424793,inf
2024-01-09 11:11:40.425132,inf
2024-01-09 11:11:41.425537,inf
2024-01-09 11:11:42.425994,inf
2024-01-09 11:11:43.426138,inf
2024-01-09 11:11:44.426366,inf
2024-01-09 11:11:45.426853,inf
2024-01-09 11:11:46.429089,inf
2024-01-09 11:11:47.429451,inf
2024-01-09 11:11:48.429708,inf
2024-01-09 11:11:49.430348,inf
2024-01-09 11:11:50.430696,inf
2024-01-09 11:11:51.431000,inf
2024-01-09 11:11:52.431801,inf
2024-01-09 11:11:53.431807,inf
2024-01-09 11:11:54.431814,inf
2024-01-09 11:11:55.432013,inf
2024-01-09 11:11:56.600104,inf
2024-01-09 11:11:57.600307,inf
2024-01-09 11:11:58.600601,inf
2024-01-09 11:11:59.600815,inf
2024-01-09 11:12:00.602279,inf
2024-01-09 11:12:01.603015,inf
2024-01-09 11:12:02.603573,inf
2024-01-09 11:12:03.603755,inf
