Time,Mean Range
2024-01-07 19:30:26.183023,inf
2024-01-07 19:30:26.385788,inf
2024-01-07 19:30:26.586148,inf
2024-01-07 19:30:26.786633,inf
2024-01-07 19:30:26.992331,inf
2024-01-07 19:30:27.193199,inf
2024-01-07 19:30:27.393966,inf
2024-01-07 19:30:27.594214,inf
2024-01-07 19:30:27.794323,inf
2024-01-07 19:30:27.994359,inf
2024-01-07 19:30:28.194447,inf
2024-01-07 19:30:28.394666,inf
2024-01-07 19:30:28.595079,inf
2024-01-07 19:30:28.795133,inf
2024-01-07 19:30:28.995640,inf
2024-01-07 19:30:29.195774,inf
2024-01-07 19:30:29.396433,inf
2024-01-07 19:30:29.596706,inf
2024-01-07 19:30:29.797207,inf
2024-01-07 19:30:29.997497,inf
2024-01-07 19:30:30.198286,inf
2024-01-07 19:30:30.401406,inf
2024-01-07 19:30:30.601750,inf
2024-01-07 19:30:30.801945,inf
2024-01-07 19:30:31.001987,inf
2024-01-07 19:30:31.202164,inf
2024-01-07 19:30:31.403581,inf
2024-01-07 19:30:31.603779,inf
2024-01-07 19:30:31.804330,inf
2024-01-07 19:30:32.004785,inf
2024-01-07 19:30:32.204912,inf
2024-01-07 19:30:32.405526,inf
2024-01-07 19:30:32.605780,inf
2024-01-07 19:30:32.807059,inf
2024-01-07 19:30:33.007129,inf
2024-01-07 19:30:33.208103,inf
2024-01-07 19:30:33.409011,inf
2024-01-07 19:30:33.609815,inf
2024-01-07 19:30:33.810055,inf
2024-01-07 19:30:34.011487,inf
2024-01-07 19:30:34.211624,inf
2024-01-07 19:30:34.412369,inf
2024-01-07 19:30:34.612392,inf
2024-01-07 19:30:34.812398,inf
2024-01-07 19:30:35.012620,inf
2024-01-07 19:30:35.212739,inf
2024-01-07 19:30:35.413782,inf
2024-01-07 19:30:35.613824,inf
2024-01-07 19:30:35.814047,inf
2024-01-07 19:30:36.017489,inf
2024-01-07 19:30:36.217852,inf
2024-01-07 19:30:36.418038,inf
2024-01-07 19:30:36.618469,inf
2024-01-07 19:30:36.818776,inf
2024-01-07 19:30:37.018898,inf
2024-01-07 19:30:37.219157,inf
2024-01-07 19:30:37.419466,inf
2024-01-07 19:30:37.619633,inf
2024-01-07 19:30:37.821037,inf
2024-01-07 19:30:38.022450,inf
2024-01-07 19:30:38.222583,inf
2024-01-07 19:30:38.423318,inf
2024-01-07 19:30:38.623528,inf
2024-01-07 19:30:38.823738,inf
2024-01-07 19:30:39.023790,inf
2024-01-07 19:30:39.224443,inf
2024-01-07 19:30:39.425976,inf
2024-01-07 19:30:39.626957,inf
2024-01-07 19:30:39.827435,inf
2024-01-07 19:30:40.027649,inf
2024-01-07 19:30:40.227811,inf
2024-01-07 19:30:40.428858,inf
2024-01-07 19:30:40.629024,inf
2024-01-07 19:30:40.829392,inf
2024-01-07 19:30:41.029702,inf
2024-01-07 19:30:41.230789,inf
2024-01-07 19:30:41.430891,inf
2024-01-07 19:30:41.630964,inf
2024-01-07 19:30:41.831137,inf
2024-01-07 19:30:42.031508,inf
2024-01-07 19:30:42.231741,inf
2024-01-07 19:30:42.432099,inf
2024-01-07 19:30:42.632757,inf
2024-01-07 19:30:42.832791,inf
2024-01-07 19:30:43.033414,inf
2024-01-07 19:30:43.234447,inf
2024-01-07 19:30:43.434907,inf
2024-01-07 19:30:43.635009,inf
2024-01-07 19:30:43.835953,inf
2024-01-07 19:30:44.036100,inf
2024-01-07 19:30:44.237085,inf
2024-01-07 19:30:44.438183,inf
2024-01-07 19:30:44.638945,inf
2024-01-07 19:30:44.839063,inf
2024-01-07 19:30:45.039090,inf
2024-01-07 19:30:45.239601,inf
2024-01-07 19:30:45.440416,inf
2024-01-07 19:30:45.640789,inf
2024-01-07 19:30:45.840923,inf
2024-01-07 19:30:46.041250,inf
2024-01-07 19:30:46.241503,inf
2024-01-07 19:30:46.442766,inf
2024-01-07 19:30:46.649317,inf
2024-01-07 19:30:46.850987,inf
2024-01-07 19:30:47.054341,inf
2024-01-07 19:30:47.254679,inf
2024-01-07 19:30:47.454754,inf
2024-01-07 19:30:47.654912,inf
2024-01-07 19:30:47.855316,inf
2024-01-07 19:30:48.055769,inf
2024-01-07 19:30:48.256051,inf
2024-01-07 19:30:48.456383,inf
2024-01-07 19:30:48.656505,inf
2024-01-07 19:30:48.856781,inf
2024-01-07 19:30:49.056977,inf
2024-01-07 19:30:49.257190,inf
2024-01-07 19:30:49.457674,inf
2024-01-07 19:30:49.660576,inf
2024-01-07 19:30:49.866792,inf
2024-01-07 19:30:50.072072,inf
2024-01-07 19:30:50.272425,inf
2024-01-07 19:30:50.472431,inf
2024-01-07 19:30:50.674295,inf
2024-01-07 19:30:50.874440,inf
2024-01-07 19:30:51.075730,inf
2024-01-07 19:30:51.276289,inf
2024-01-07 19:30:51.476427,inf
2024-01-07 19:30:51.677058,inf
2024-01-07 19:30:51.877332,inf
2024-01-07 19:30:52.077580,inf
2024-01-07 19:30:52.277993,inf
2024-01-07 19:30:52.478540,inf
2024-01-07 19:30:52.678870,inf
2024-01-07 19:30:52.879980,inf
2024-01-07 19:30:53.080065,inf
2024-01-07 19:30:53.280571,inf
2024-01-07 19:30:53.480572,inf
2024-01-07 19:30:53.681232,inf
2024-01-07 19:30:53.881573,inf
2024-01-07 19:30:54.081605,inf
2024-01-07 19:30:54.283544,inf
2024-01-07 19:30:54.484776,inf
2024-01-07 19:30:54.684964,inf
2024-01-07 19:30:54.884992,inf
2024-01-07 19:30:55.085042,inf
2024-01-07 19:30:55.286600,inf
2024-01-07 19:30:55.487360,inf
2024-01-07 19:30:55.687379,inf
2024-01-07 19:30:55.887419,inf
2024-01-07 19:30:56.087462,inf
2024-01-07 19:30:56.288553,inf
2024-01-07 19:30:56.488742,inf
2024-01-07 19:30:56.691575,inf
2024-01-07 19:30:56.893469,inf
2024-01-07 19:30:57.093713,inf
2024-01-07 19:30:57.293807,inf
2024-01-07 19:30:57.493890,inf
2024-01-07 19:30:57.694984,inf
2024-01-07 19:30:57.895671,inf
2024-01-07 19:30:58.096627,inf
2024-01-07 19:30:58.297491,inf
2024-01-07 19:30:58.498097,inf
2024-01-07 19:30:58.698109,inf
2024-01-07 19:30:58.898409,inf
2024-01-07 19:30:59.098421,inf
2024-01-07 19:30:59.298784,inf
2024-01-07 19:30:59.498877,inf
2024-01-07 19:30:59.699080,inf
2024-01-07 19:30:59.899250,inf
2024-01-07 19:31:00.099331,inf
2024-01-07 19:31:00.299470,inf
2024-01-07 19:31:00.499533,inf
2024-01-07 19:31:00.699722,inf
2024-01-07 19:31:00.900145,inf
2024-01-07 19:31:01.100441,inf
2024-01-07 19:31:01.300607,inf
2024-01-07 19:31:01.500755,inf
2024-01-07 19:31:01.700844,inf
2024-01-07 19:31:01.901063,inf
2024-01-07 19:31:02.101195,inf
2024-01-07 19:31:02.302444,inf
2024-01-07 19:31:02.502717,inf
2024-01-07 19:31:02.702790,inf
2024-01-07 19:31:02.902805,inf
2024-01-07 19:31:03.103162,0.37333335280418395
2024-01-07 19:31:03.303552,0.4157333513100942
2024-01-07 19:31:03.512784,0.4528000235557556
2024-01-07 19:31:03.714251,0.5078666985034943
2024-01-07 19:31:03.917057,0.5438000281651815
2024-01-07 19:31:04.120054,0.5860666990280151
2024-01-07 19:31:04.321278,0.5684666951497396
2024-01-07 19:31:04.526230,0.5214000225067139
2024-01-07 19:31:04.726785,0.44273335536321007
2024-01-07 19:31:04.936080,0.423466690381368
2024-01-07 19:31:05.137324,0.40906668504079186
2024-01-07 19:31:05.342442,0.41400002042452494
2024-01-07 19:31:05.545701,0.44340002338091533
2024-01-07 19:31:05.753598,inf
2024-01-07 19:31:05.954173,0.4644666850566864
2024-01-07 19:31:06.156371,0.4857333580652873
2024-01-07 19:31:06.367607,0.48266668717066447
2024-01-07 19:31:06.568149,0.49713335434595746
2024-01-07 19:31:06.768657,0.48093335231145223
2024-01-07 19:31:06.969030,0.4680000205834707
2024-01-07 19:31:07.175442,0.4398000200589498
2024-01-07 19:31:07.400495,0.44046668807665507
2024-01-07 19:31:07.606443,inf
2024-01-07 19:31:07.813748,0.45493335525194806
2024-01-07 19:31:08.019520,inf
2024-01-07 19:31:08.222085,inf
2024-01-07 19:31:08.422367,inf
2024-01-07 19:31:08.622411,inf
2024-01-07 19:31:08.824515,inf
2024-01-07 19:31:09.032600,inf
2024-01-07 19:31:09.258044,inf
2024-01-07 19:31:09.463576,inf
2024-01-07 19:31:09.664079,inf
2024-01-07 19:31:09.864129,inf
2024-01-07 19:31:10.065358,inf
2024-01-07 19:31:10.266500,inf
2024-01-07 19:31:10.471044,inf
2024-01-07 19:31:10.671158,inf
2024-01-07 19:31:10.879524,inf
2024-01-07 19:31:11.079634,inf
2024-01-07 19:31:11.281457,0.5172666887442271
2024-01-07 19:31:11.481901,inf
2024-01-07 19:31:11.681991,inf
2024-01-07 19:31:11.882552,inf
2024-01-07 19:31:12.082628,inf
2024-01-07 19:31:12.285231,inf
2024-01-07 19:31:12.496578,inf
2024-01-07 19:31:12.706312,0.5084666947523753
2024-01-07 19:31:12.907449,0.46860002477963764
2024-01-07 19:31:13.108515,0.42113335529963175
2024-01-07 19:31:13.310370,0.3894000192483266
2024-01-07 19:31:13.522465,0.3743333558241526
2024-01-07 19:31:13.723438,0.37120001912117007
2024-01-07 19:31:13.926372,0.3626666784286499
2024-01-07 19:31:14.127097,0.34866668383280436
2024-01-07 19:31:14.330244,0.34313335418701174
2024-01-07 19:31:14.533363,0.32306668559710183
2024-01-07 19:31:14.735604,0.28913334806760155
2024-01-07 19:31:14.936407,0.28653334577878314
2024-01-07 19:31:15.141424,0.2894666790962219
2024-01-07 19:31:15.341694,0.29213334719340006
2024-01-07 19:31:15.544986,0.29280001322428384
2024-01-07 19:31:15.747211,0.2998666783173879
2024-01-07 19:31:15.947869,0.3010666787624359
2024-01-07 19:31:16.170684,0.2972666839758555
2024-01-07 19:31:16.371131,0.30686667760213215
2024-01-07 19:31:16.571557,0.30593335032463076
2024-01-07 19:31:16.774891,0.28686668276786803
2024-01-07 19:31:16.975498,0.2649333437283834
2024-01-07 19:31:17.181254,0.24060001075267792
2024-01-07 19:31:17.381990,inf
2024-01-07 19:31:17.581994,inf
2024-01-07 19:31:17.789481,2.6714001337687177
2024-01-07 19:31:17.989726,inf
2024-01-07 19:31:18.190006,2.697400140762329
2024-01-07 19:31:18.390234,2.6948668162027993
2024-01-07 19:31:18.591642,2.705266793568929
2024-01-07 19:31:18.791975,2.701000134150187
