Time,Mean Range
2024-01-09 11:26:08.824929,inf
2024-01-09 11:26:09.825485,inf
2024-01-09 11:26:10.826010,inf
2024-01-09 11:26:11.826229,inf
2024-01-09 11:26:12.826713,inf
2024-01-09 11:26:13.826844,inf
2024-01-09 11:26:14.827131,inf
2024-01-09 11:26:15.827143,inf
2024-01-09 11:26:16.827488,inf
2024-01-09 11:26:17.827752,inf
2024-01-09 11:26:18.827877,inf
2024-01-09 11:27:46.580509,inf
2024-01-09 11:27:47.580646,inf
2024-01-09 11:27:48.580973,inf
2024-01-09 11:27:49.581001,inf
2024-01-09 11:27:50.581242,inf
2024-01-09 11:27:51.581824,inf
2024-01-09 11:27:52.582154,inf
2024-01-09 11:27:53.582544,inf
2024-01-09 11:27:54.582554,inf
2024-01-09 11:27:55.583566,inf
2024-01-09 11:27:56.783321,inf
2024-01-09 11:27:57.783766,inf
2024-01-09 11:27:58.783909,inf
2024-01-09 11:27:59.785254,inf
2024-01-09 11:28:00.785989,inf
2024-01-09 11:28:01.786298,0.3529333492120107
2024-01-09 11:28:02.786363,inf
2024-01-09 11:28:03.786489,inf
2024-01-09 11:28:04.786543,inf
2024-01-09 11:28:05.786762,inf
2024-01-09 11:28:06.786941,0.204133344690005
2024-01-09 11:28:07.787030,inf
2024-01-09 11:28:08.787207,inf
2024-01-09 11:28:09.787366,inf
2024-01-09 11:28:10.787404,inf
2024-01-09 11:28:11.788301,inf
2024-01-09 11:28:12.788542,inf
2024-01-09 11:28:13.788747,inf
2024-01-09 11:28:14.788987,inf
2024-01-09 11:28:15.789067,inf
2024-01-09 11:28:16.789596,inf
2024-01-09 11:28:17.790006,inf
2024-01-09 11:28:18.790258,inf
2024-01-09 11:28:19.790684,inf
2024-01-09 11:28:20.791223,inf
2024-01-09 11:28:21.791439,inf
2024-01-09 11:28:22.791776,inf
2024-01-09 11:28:23.791955,inf
2024-01-09 11:28:24.792229,inf
2024-01-09 11:28:25.792886,inf
2024-01-09 11:28:26.792978,inf
2024-01-09 11:28:27.793589,inf
2024-01-09 11:28:28.793776,inf
2024-01-09 11:28:29.794018,inf
2024-01-09 11:28:30.794055,inf
2024-01-09 11:28:31.794321,inf
2024-01-09 11:28:32.794463,inf
2024-01-09 11:28:33.794594,inf
2024-01-09 11:28:34.794931,inf
2024-01-09 11:28:35.795173,inf
2024-01-09 11:28:36.795399,inf
2024-01-09 11:28:37.795416,inf
2024-01-09 11:28:38.796360,inf
2024-01-09 11:28:39.796635,inf
2024-01-09 11:28:40.797849,inf
2024-01-09 11:28:41.800564,inf
2024-01-09 11:28:42.800819,inf
2024-01-09 11:28:43.800988,inf
2024-01-09 11:28:44.801102,inf
2024-01-09 11:28:45.801125,inf
2024-01-09 11:28:46.801995,inf
2024-01-09 11:28:47.802139,inf
2024-01-09 11:28:48.802170,inf
2024-01-09 11:28:49.802187,inf
2024-01-09 11:28:50.802423,inf
2024-01-09 11:28:51.802423,inf
2024-01-09 11:28:52.802464,inf
2024-01-09 11:28:53.802677,inf
2024-01-09 11:28:54.802714,inf
2024-01-09 11:28:55.802719,inf
2024-01-09 11:28:56.803397,inf
2024-01-09 11:28:57.803593,inf
2024-01-09 11:28:58.803782,inf
2024-01-09 11:28:59.803884,inf
2024-01-09 11:29:00.803939,inf
2024-01-09 11:29:01.804216,inf
2024-01-09 11:29:02.804545,inf
2024-01-09 11:29:03.805356,inf
2024-01-09 11:29:04.805377,inf
2024-01-09 11:29:05.806272,inf
2024-01-09 11:29:06.806496,inf
2024-01-09 11:29:07.807329,inf
2024-01-09 11:29:08.807702,inf
2024-01-09 11:29:09.808395,inf
2024-01-09 11:29:10.808733,inf
2024-01-09 11:29:11.810028,inf
2024-01-09 11:29:12.810281,inf
2024-01-09 11:29:13.810613,inf
2024-01-09 11:29:14.810816,inf
2024-01-09 11:29:15.810866,inf
2024-01-09 11:29:16.810885,inf
2024-01-09 11:29:17.811363,inf
2024-01-09 11:29:18.811702,inf
2024-01-09 11:29:19.811820,inf
2024-01-09 11:29:20.812175,inf
2024-01-09 11:29:21.812251,inf
2024-01-09 11:29:22.812987,inf
2024-01-09 11:29:23.813336,inf
2024-01-09 11:29:24.814106,inf
2024-01-09 11:29:25.814443,inf
2024-01-09 11:29:26.815038,inf
2024-01-09 11:29:27.815172,inf
2024-01-09 11:29:28.815348,inf
2024-01-09 11:29:29.816082,inf
2024-01-09 11:29:30.816167,inf
2024-01-09 11:29:31.816280,inf
2024-01-09 11:29:32.816794,inf
2024-01-09 11:29:33.816891,inf
2024-01-09 11:29:34.817073,inf
2024-01-09 11:29:35.818669,inf
2024-01-09 11:29:36.818706,inf
2024-01-09 11:29:37.818920,inf
2024-01-09 11:29:38.819130,inf
2024-01-09 11:29:39.819741,inf
2024-01-09 11:29:40.819938,inf
2024-01-09 11:29:41.820403,inf
2024-01-09 11:29:42.820581,inf
2024-01-09 11:29:43.821968,inf
2024-01-09 11:29:44.822358,inf
2024-01-09 11:29:45.822797,inf
2024-01-09 11:29:46.823701,inf
2024-01-09 11:29:47.823915,inf
2024-01-09 11:29:48.824072,inf
2024-01-09 11:29:49.824406,inf
2024-01-09 11:29:50.824610,inf
2024-01-09 11:29:51.825438,inf
2024-01-09 11:29:52.825576,inf
2024-01-09 11:29:53.825585,inf
2024-01-09 11:29:54.826119,inf
2024-01-09 11:29:55.826267,inf
2024-01-09 11:29:56.826427,inf
2024-01-09 11:29:57.826675,inf
2024-01-09 11:29:58.826748,inf
2024-01-09 11:29:59.827440,inf
2024-01-09 11:30:00.827641,inf
2024-01-09 11:30:01.827649,inf
2024-01-09 11:30:02.828211,inf
2024-01-09 11:30:03.828559,inf
2024-01-09 11:30:04.828929,inf
2024-01-09 11:30:05.829278,inf
2024-01-09 11:30:06.829533,inf
2024-01-09 11:30:07.829860,inf
2024-01-09 11:30:08.830146,inf
2024-01-09 11:30:09.830726,inf
2024-01-09 11:30:10.830993,inf
2024-01-09 11:30:11.831265,inf
2024-01-09 11:30:12.831289,inf
2024-01-09 11:30:13.831665,inf
2024-01-09 11:30:14.832344,inf
2024-01-09 11:30:15.832616,inf
2024-01-09 11:30:16.832889,inf
2024-01-09 11:30:17.833096,inf
2024-01-09 11:30:18.833617,inf
2024-01-09 11:30:19.834304,inf
2024-01-09 11:30:20.834467,inf
2024-01-09 11:30:21.834990,0.09653333723545074
2024-01-09 11:30:22.835101,inf
2024-01-09 11:30:23.835800,inf
2024-01-09 11:30:24.835917,inf
2024-01-09 11:30:25.836096,inf
2024-01-09 11:30:26.836280,inf
2024-01-09 11:30:27.836444,inf
2024-01-09 11:30:28.836718,inf
2024-01-09 11:30:29.836917,inf
2024-01-09 11:30:30.836923,0.11893333892027537
2024-01-09 11:30:31.837304,0.07326667010784149
2024-01-09 11:30:32.837378,inf
2024-01-09 11:30:33.837703,inf
2024-01-09 11:30:34.837900,inf
2024-01-09 11:30:35.838106,0.09386667162179947
2024-01-09 11:30:36.838249,inf
2024-01-09 11:30:37.838511,inf
2024-01-09 11:30:38.838763,inf
2024-01-09 11:30:39.839091,inf
2024-01-09 11:30:40.839136,inf
2024-01-09 11:30:41.839528,inf
2024-01-09 11:30:42.839778,inf
2024-01-09 11:30:43.840245,inf
2024-01-09 11:30:44.840666,inf
2024-01-09 11:30:45.840892,inf
2024-01-09 11:30:46.841214,inf
2024-01-09 11:30:47.841353,inf
2024-01-09 11:30:48.841403,inf
2024-01-09 11:30:49.841410,0.15026667217413583
2024-01-09 11:30:50.841907,0.13213333785533904
2024-01-09 11:30:51.842262,0.11926667094230652
2024-01-09 11:30:52.842312,inf
2024-01-09 11:30:53.842694,inf
2024-01-09 11:30:54.842886,inf
2024-01-09 11:30:55.843201,inf
2024-01-09 11:30:56.843447,0.41966668764750165
2024-01-09 11:30:57.844035,inf
2024-01-09 11:30:58.844054,inf
2024-01-09 11:30:59.844364,0.4784000277519226
2024-01-09 11:31:00.844647,inf
2024-01-09 11:31:01.844820,inf
2024-01-09 11:31:02.844937,inf
2024-01-09 11:31:03.859527,inf
2024-01-09 11:31:04.859650,inf
2024-01-09 11:31:05.859768,inf
2024-01-09 11:31:06.859927,inf
2024-01-09 11:31:07.860182,inf
2024-01-09 11:31:08.860429,inf
2024-01-09 11:31:09.862076,inf
2024-01-09 11:31:10.862266,inf
2024-01-09 11:31:11.862985,0.11340000530083974
2024-01-09 11:31:12.863027,0.18293333947658538
2024-01-09 11:31:13.863277,0.16320000688234965
2024-01-09 11:31:14.863532,0.1600666731595993
2024-01-09 11:31:15.863566,inf
2024-01-09 11:31:16.863624,inf
2024-01-09 11:31:17.864532,inf
2024-01-09 11:31:18.864993,inf
2024-01-09 11:31:19.865114,inf
2024-01-09 11:31:20.865482,inf
2024-01-09 11:31:21.865761,inf
2024-01-09 11:31:22.865837,inf
2024-01-09 11:31:23.866380,inf
2024-01-09 11:31:24.867139,inf
2024-01-09 11:31:25.867183,inf
2024-01-09 11:31:26.867219,inf
2024-01-09 11:31:27.867562,inf
2024-01-09 11:31:28.867639,inf
2024-01-09 11:31:29.867705,inf
2024-01-09 11:31:30.868220,inf
2024-01-09 11:31:31.868225,inf
2024-01-09 11:31:32.868535,inf
2024-01-09 11:31:33.868600,inf
2024-01-09 11:31:34.868732,inf
2024-01-09 11:31:35.868857,inf
2024-01-09 11:31:36.869110,inf
2024-01-09 11:31:37.869371,inf
2024-01-09 11:31:38.869472,inf
2024-01-09 11:31:39.869488,inf
2024-01-09 11:31:40.870951,inf
2024-01-09 11:31:41.870961,0.071666669100523
2024-01-09 11:31:42.871306,0.08193333745002747
2024-01-09 11:31:43.871525,inf
2024-01-09 11:31:44.871540,inf
2024-01-09 11:31:45.872301,inf
2024-01-09 11:31:46.872693,inf
2024-01-09 11:31:47.872801,inf
2024-01-09 11:31:48.873362,inf
2024-01-09 11:31:49.873792,inf
2024-01-09 11:31:50.874015,inf
2024-01-09 11:31:51.874179,inf
2024-01-09 11:31:52.875877,0.08380000442266464
2024-01-09 11:31:53.876062,0.0740666702389717
2024-01-09 11:31:54.876278,0.07780000418424607
2024-01-09 11:31:55.876360,inf
2024-01-09 11:31:56.876536,inf
2024-01-09 11:31:57.876709,inf
2024-01-09 11:31:58.877151,0.09180000424385071
2024-01-09 11:31:59.877179,inf
2024-01-09 11:32:00.877424,inf
2024-01-09 11:32:01.877688,0.07180000344912212
2024-01-09 11:32:02.878092,0.06420000319679578
2024-01-09 11:32:03.878128,inf
2024-01-09 11:32:04.878160,inf
2024-01-09 11:32:05.878212,inf
2024-01-09 11:32:06.878365,inf
2024-01-09 11:32:07.878900,inf
2024-01-09 11:32:08.878909,inf
2024-01-09 11:32:09.878937,inf
2024-01-09 11:32:10.879083,inf
2024-01-09 11:32:11.879335,inf
2024-01-09 11:32:12.879590,inf
2024-01-09 11:32:13.879691,inf
2024-01-09 11:32:14.879926,inf
2024-01-09 11:32:15.880070,inf
2024-01-09 11:32:16.880311,inf
2024-01-09 11:32:17.880685,inf
2024-01-09 11:32:18.881555,inf
2024-01-09 11:32:19.882111,inf
2024-01-09 11:32:20.882246,inf
2024-01-09 11:32:21.882383,inf
2024-01-09 11:32:22.882450,inf
2024-01-09 11:32:23.882457,inf
2024-01-09 11:32:24.882705,0.06946667085091272
2024-01-09 11:32:25.882828,inf
2024-01-09 11:32:26.884107,inf
2024-01-09 11:32:27.884590,0.09153333803017934
2024-01-09 11:32:28.884640,inf
2024-01-09 11:32:29.884822,inf
2024-01-09 11:32:30.885905,inf
2024-01-09 11:32:31.886715,0.07793333778778712
2024-01-09 11:32:32.886881,inf
2024-01-09 11:32:33.886898,inf
2024-01-09 11:32:34.886921,inf
2024-01-09 11:32:35.886978,0.0776000032822291
2024-01-09 11:32:36.887078,inf
2024-01-09 11:32:37.887514,inf
2024-01-09 11:32:38.887860,inf
2024-01-09 11:32:39.931557,inf
2024-01-09 11:32:40.931697,inf
2024-01-09 11:32:41.932049,0.07080000291268031
2024-01-09 11:32:42.932093,inf
2024-01-09 11:32:43.932381,inf
2024-01-09 11:32:44.932891,0.11013333797454834
2024-01-09 11:32:45.932896,inf
2024-01-09 11:32:46.933485,inf
2024-01-09 11:32:47.933740,0.08160000443458557
2024-01-09 11:32:48.933946,inf
2024-01-09 11:32:49.934046,inf
2024-01-09 11:32:50.934229,inf
2024-01-09 11:32:51.934553,inf
2024-01-09 11:32:52.934856,inf
2024-01-09 11:32:53.935108,inf
2024-01-09 11:32:54.935457,inf
2024-01-09 11:32:55.935829,inf
2024-01-09 11:32:56.936040,0.12620000590880712
2024-01-09 11:32:57.936220,0.1485333412885666
2024-01-09 11:32:58.936386,0.15573334296544392
2024-01-09 11:32:59.937081,0.1589333415031433
2024-01-09 11:33:00.937379,0.1602666735649109
2024-01-09 11:33:01.937689,0.16086667378743488
2024-01-09 11:33:02.937959,0.14920000930627186
2024-01-09 11:33:03.938095,inf
2024-01-09 11:33:04.938275,inf
2024-01-09 11:33:05.938321,inf
2024-01-09 11:33:06.938687,inf
2024-01-09 11:33:07.938747,inf
2024-01-09 11:33:08.938825,inf
2024-01-09 11:33:09.939398,inf
2024-01-09 11:33:10.939403,inf
2024-01-09 11:33:11.939655,inf
2024-01-09 11:33:12.940382,inf
2024-01-09 11:33:13.940389,inf
2024-01-09 11:33:14.940638,inf
2024-01-09 11:33:15.941247,inf
2024-01-09 11:33:16.941330,inf
2024-01-09 11:33:17.941342,0.29366668264071144
2024-01-09 11:33:18.942191,0.30426668326059975
2024-01-09 11:33:19.943152,0.29806668162345884
2024-01-09 11:33:20.943561,0.2991333464781443
2024-01-09 11:33:21.943639,inf
2024-01-09 11:33:22.943884,inf
2024-01-09 11:33:23.944212,inf
2024-01-09 11:33:24.944957,inf
2024-01-09 11:33:25.945040,inf
2024-01-09 11:33:26.945190,inf
2024-01-09 11:33:27.945607,inf
2024-01-09 11:33:28.946903,inf
2024-01-09 11:33:29.947178,inf
2024-01-09 11:33:30.947406,inf
2024-01-09 11:33:31.947677,inf
2024-01-09 11:33:32.948674,inf
2024-01-09 11:33:33.948809,inf
2024-01-09 11:33:34.948874,inf
2024-01-09 11:33:35.949162,inf
2024-01-09 11:33:36.950029,inf
2024-01-09 11:33:37.950286,inf
2024-01-09 11:33:38.950377,0.6545333703358968
2024-01-09 11:33:39.950868,0.5964000304539998
2024-01-09 11:33:40.951649,0.2614666819572449
2024-01-09 11:33:41.951826,inf
2024-01-09 11:33:42.952114,inf
2024-01-09 11:33:43.952703,inf
2024-01-09 11:33:44.953090,inf
2024-01-09 11:33:45.953094,inf
2024-01-09 11:33:46.953232,inf
2024-01-09 11:33:47.953847,inf
2024-01-09 11:33:48.954264,inf
2024-01-09 11:33:49.954460,inf
2024-01-09 11:33:50.954543,inf
2024-01-09 11:33:51.954787,inf
2024-01-09 11:33:52.955477,inf
2024-01-09 11:33:53.956017,inf
2024-01-09 11:33:54.956162,inf
2024-01-09 11:33:55.956782,inf
2024-01-09 11:33:56.956862,inf
2024-01-09 11:33:57.957161,inf
2024-01-09 11:33:58.957546,inf
2024-01-09 11:33:59.957570,inf
2024-01-09 11:34:00.957600,inf
2024-01-09 11:34:01.958173,inf
2024-01-09 11:34:02.958586,inf
2024-01-09 11:34:03.958718,inf
2024-01-09 11:34:04.958953,inf
2024-01-09 11:34:05.958982,inf
2024-01-09 11:34:06.959322,inf
2024-01-09 11:34:07.959601,inf
2024-01-09 11:34:08.959942,inf
2024-01-09 11:34:09.960382,inf
2024-01-09 11:34:10.961140,inf
2024-01-09 11:34:11.961214,inf
2024-01-09 11:34:12.961259,inf
2024-01-09 11:34:13.961637,inf
2024-01-09 11:34:14.961990,inf
2024-01-09 11:34:15.962258,inf
2024-01-09 11:34:16.962621,inf
2024-01-09 11:34:17.962681,inf
2024-01-09 11:34:18.962848,inf
2024-01-09 11:34:19.963085,inf
2024-01-09 11:34:20.963409,inf
2024-01-09 11:34:21.963437,inf
2024-01-09 11:34:22.963922,inf
2024-01-09 11:34:23.964003,inf
2024-01-09 11:34:24.964068,inf
2024-01-09 11:34:25.964474,inf
2024-01-09 11:34:26.964747,inf
2024-01-09 11:34:27.964995,inf
2024-01-09 11:34:28.965163,inf
2024-01-09 11:34:29.965318,inf
2024-01-09 11:34:30.968648,inf
2024-01-09 11:34:31.969064,inf
2024-01-09 11:34:32.969085,inf
2024-01-09 11:34:33.969477,inf
2024-01-09 11:34:34.969760,inf
2024-01-09 11:34:35.969868,inf
2024-01-09 11:34:36.969962,inf
2024-01-09 11:34:37.970839,0.3445333500703176
2024-01-09 11:34:38.970880,0.3278666853904724
2024-01-09 11:34:39.971019,0.3155333479245504
2024-01-09 11:34:40.971164,inf
2024-01-09 11:34:41.971355,0.34213334918022154
2024-01-09 11:34:42.971684,0.288533345858256
2024-01-09 11:34:43.974048,0.2864000141620636
2024-01-09 11:34:44.975193,0.29060001770655314
2024-01-09 11:34:45.975235,0.29306668043136597
2024-01-09 11:34:46.975283,0.295933343966802
2024-01-09 11:34:47.975309,0.3186000148455302
2024-01-09 11:34:48.975353,0.32400001486142477
2024-01-09 11:34:49.976270,0.3226000090440114
2024-01-09 11:34:50.976534,0.2826000173886617
2024-01-09 11:34:51.976574,0.2584666798512141
2024-01-09 11:34:52.976621,0.2208000103632609
2024-01-09 11:34:53.976989,0.2714666773875554
2024-01-09 11:34:54.977284,inf
2024-01-09 11:34:55.977625,0.3002000133196513
2024-01-09 11:34:56.978291,0.35880001187324523
2024-01-09 11:34:57.978549,inf
2024-01-09 11:34:58.979248,0.62586669921875
2024-01-09 11:34:59.979370,inf
2024-01-09 11:35:00.979700,inf
2024-01-09 11:35:01.979855,inf
2024-01-09 11:35:02.980291,inf
2024-01-09 11:35:03.980718,inf
2024-01-09 11:35:04.980838,inf
2024-01-09 11:35:05.980839,inf
2024-01-09 11:35:06.980904,inf
2024-01-09 11:35:07.980937,inf
2024-01-09 11:35:08.981387,inf
2024-01-09 11:35:09.981561,inf
2024-01-09 11:35:10.981869,inf
2024-01-09 11:35:11.982006,inf
2024-01-09 11:35:12.982590,inf
2024-01-09 11:35:13.982799,inf
2024-01-09 11:35:14.983799,inf
2024-01-09 11:35:15.984039,inf
2024-01-09 11:35:16.984429,inf
2024-01-09 11:35:17.988188,inf
2024-01-09 11:35:18.988580,inf
2024-01-09 11:35:19.988835,inf
2024-01-09 11:35:20.989538,inf
2024-01-09 11:35:21.989638,inf
2024-01-09 11:35:22.989903,inf
2024-01-09 11:35:23.989907,inf
2024-01-09 11:35:24.990289,inf
2024-01-09 11:35:25.990568,inf
2024-01-09 11:35:26.990780,inf
2024-01-09 11:35:27.991088,inf
2024-01-09 11:35:28.991454,inf
2024-01-09 11:35:29.991755,inf
2024-01-09 11:35:30.991860,inf
2024-01-09 11:35:31.992157,inf
2024-01-09 11:35:32.992184,inf
2024-01-09 11:35:33.992353,inf
2024-01-09 11:35:34.992621,inf
2024-01-09 11:35:35.993137,inf
2024-01-09 11:35:36.993550,inf
2024-01-09 11:35:37.993794,inf
2024-01-09 11:35:38.994038,inf
2024-01-09 11:35:39.994534,inf
2024-01-09 11:35:40.994811,inf
2024-01-09 11:35:41.995017,inf
2024-01-09 11:35:43.035350,inf
2024-01-09 11:35:44.035538,inf
2024-01-09 11:35:45.035742,inf
2024-01-09 11:35:46.036080,inf
2024-01-09 11:35:47.036429,0.4506666839122772
2024-01-09 11:35:48.036442,inf
2024-01-09 11:35:49.037059,inf
2024-01-09 11:35:50.037184,inf
2024-01-09 11:35:51.037804,inf
