INFO:root:Serial port /dev/ttyACM0 opened successfully.
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:38.599   34.695832969  -82.794803096  2743.7261   5   5  75.5945 190.4027 319.9225   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:38.799   34.695824347  -82.794806751  2745.2196   5   5  75.4639 190.0638 319.3600   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:38.799   34.695824347  -82.794806751  2745.2196   5   5  75.4639 190.0638 319.3600   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:38.999   34.695811355  -82.794812661  2747.5507   5   5  75.3342 189.7273 318.8017   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:38.999   34.695811355  -82.794812661  2747.5507   5   5  75.3342 189.7273 318.8017   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:39.199   34.695810476  -82.794813118  2747.6668   5   5  75.2057 189.3938 318.2481   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:39.199   34.695810476  -82.794813118  2747.6668   5   5  75.2057 189.3938 318.2481   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:39.395   34.695812501  -82.794812651  2747.3401   5   4  75.2058 189.3938 318.2481   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:39.395   34.695812501  -82.794812651  2747.3401   5   4  75.2058 189.3938 318.2481   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:39.599   34.695808914  -82.794814625  2748.0226   5   5  74.9492 188.7277 317.1427   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:39.599   34.695808914  -82.794814625  2748.0226   5   5  74.9492 188.7277 317.1427   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:39.799   34.695813522  -82.794812689  2747.1683   5   5  74.8221 188.3978 316.5952   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:39.799   34.695813522  -82.794812689  2747.1683   5   5  74.8221 188.3978 316.5952   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:39.999   34.695831259  -82.794804462  2743.8817   5   5  74.6960 188.0703 316.0514   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:39.999   34.695831259  -82.794804462  2743.8817   5   5  74.6960 188.0703 316.0514   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:40.199   34.695852154  -82.794794773  2740.0312   5   5  74.5699 187.7426 315.5073   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Ignoring non-GPGGA sentence: 2024/01/08 05:48:40.199   34.695852154  -82.794794773  2740.0312   5   5  74.5699 187.7426 315.5073   0.0000   0.0000   0.0000   0.00    0.0
DEBUG:root:Received raw data: 2024/01/08 05:48:40.399   34.695872111  -82.794785989  2736.4027   5   5  74.4441 187.4160 314.9649   0.0000   0.0000   0.0000   0.00    0.0
