Time,Mean Range
2024-01-09 11:19:40.520110,inf
2024-01-09 11:19:41.520399,inf
2024-01-09 11:19:42.520508,inf
2024-01-09 11:19:43.521142,inf
2024-01-09 11:19:44.521399,inf
2024-01-09 11:19:45.521997,inf
2024-01-09 11:21:39.051828,inf
2024-01-09 11:21:40.052032,inf
2024-01-09 11:21:41.053115,inf
2024-01-09 11:21:42.053145,inf
2024-01-09 11:21:43.053767,inf
2024-01-09 11:21:44.054093,inf
2024-01-09 11:21:45.055084,inf
2024-01-09 11:21:46.055534,inf
2024-01-09 11:21:47.056830,inf
2024-01-09 11:21:48.057571,inf
2024-01-09 11:21:49.057732,inf
2024-01-09 11:21:50.058679,inf
2024-01-09 11:21:51.058794,inf
2024-01-09 11:21:52.058883,inf
2024-01-09 11:21:53.059102,inf
2024-01-09 11:21:54.059240,inf
2024-01-09 11:21:55.060560,inf
2024-01-09 11:21:56.061309,inf
2024-01-09 11:21:57.062913,inf
2024-01-09 11:21:58.062944,inf
2024-01-09 11:21:59.063864,inf
2024-01-09 11:22:00.063936,inf
2024-01-09 11:22:01.064152,inf
2024-01-09 11:22:02.064553,inf
2024-01-09 11:22:03.064626,inf
2024-01-09 11:22:04.182135,inf
2024-01-09 11:22:05.182445,inf
2024-01-09 11:22:06.182670,inf
2024-01-09 11:22:07.182808,inf
2024-01-09 11:22:08.183679,inf
2024-01-09 11:22:09.184547,inf
2024-01-09 11:22:10.184801,inf
2024-01-09 11:22:11.184975,inf
2024-01-09 11:22:12.185338,inf
2024-01-09 11:22:13.185601,inf
2024-01-09 11:22:14.186479,inf
2024-01-09 11:22:15.187317,inf
2024-01-09 11:22:16.187360,inf
2024-01-09 11:22:17.188297,inf
2024-01-09 11:22:18.188476,0.10533333818117778
2024-01-09 11:22:19.188874,inf
2024-01-09 11:22:20.189032,inf
2024-01-09 11:22:21.189093,inf
2024-01-09 11:22:22.189487,inf
2024-01-09 11:22:23.190220,inf
2024-01-09 11:22:24.190329,inf
2024-01-09 11:22:25.190608,inf
2024-01-09 11:22:26.190955,inf
2024-01-09 11:22:27.191197,inf
2024-01-09 11:22:28.191844,inf
2024-01-09 11:22:29.192067,inf
2024-01-09 11:22:30.192598,inf
2024-01-09 11:22:31.192655,inf
2024-01-09 11:22:32.193314,inf
2024-01-09 11:22:33.194212,inf
2024-01-09 11:22:34.194628,inf
2024-01-09 11:22:35.195616,inf
2024-01-09 11:22:36.196378,inf
2024-01-09 11:22:37.197005,inf
2024-01-09 11:22:38.197115,inf
2024-01-09 11:22:39.197151,inf
2024-01-09 11:22:40.197814,inf
2024-01-09 11:22:41.198209,inf
2024-01-09 11:22:42.198392,inf
2024-01-09 11:22:43.198641,inf
2024-01-09 11:22:44.199022,inf
2024-01-09 11:22:45.199420,inf
2024-01-09 11:22:46.201351,inf
2024-01-09 11:22:47.201769,inf
2024-01-09 11:22:48.201923,inf
2024-01-09 11:22:49.202630,inf
2024-01-09 11:22:50.202790,inf
2024-01-09 11:22:51.203481,inf
2024-01-09 11:22:52.203789,inf
2024-01-09 11:22:53.209125,inf
2024-01-09 11:22:54.209127,inf
2024-01-09 11:22:55.209232,inf
2024-01-09 11:22:56.209520,inf
2024-01-09 11:22:57.210756,inf
2024-01-09 11:22:58.211139,inf
2024-01-09 11:22:59.211154,inf
2024-01-09 11:23:00.211339,inf
2024-01-09 11:23:01.211501,inf
2024-01-09 11:23:02.211561,inf
2024-01-09 11:23:03.211661,inf
2024-01-09 11:23:04.211978,inf
2024-01-09 11:23:05.212261,inf
2024-01-09 11:23:06.212422,inf
2024-01-09 11:23:07.212804,inf
2024-01-09 11:23:08.212988,inf
2024-01-09 11:23:09.213287,inf
2024-01-09 11:23:10.213763,inf
2024-01-09 11:23:11.214149,inf
2024-01-09 11:23:12.214304,inf
2024-01-09 11:23:13.214423,inf
2024-01-09 11:23:14.214565,inf
2024-01-09 11:23:15.214587,inf
2024-01-09 11:23:16.215274,inf
2024-01-09 11:23:17.215590,inf
2024-01-09 11:23:18.215873,inf
2024-01-09 11:23:19.215883,inf
2024-01-09 11:23:20.216625,inf
2024-01-09 11:23:21.216668,inf
2024-01-09 11:23:22.217172,inf
2024-01-09 11:23:23.217451,inf
2024-01-09 11:23:24.217460,inf
2024-01-09 11:23:25.220408,inf
2024-01-09 11:23:26.220611,inf
2024-01-09 11:23:27.220974,inf
2024-01-09 11:23:28.221191,inf
2024-01-09 11:23:29.221237,inf
2024-01-09 11:23:30.221274,inf
2024-01-09 11:23:31.222252,inf
2024-01-09 11:23:32.222563,inf
2024-01-09 11:23:33.222693,inf
2024-01-09 11:23:34.222903,inf
2024-01-09 11:23:35.223126,inf
2024-01-09 11:23:36.223355,inf
2024-01-09 11:23:37.223398,inf
2024-01-09 11:23:38.224230,inf
2024-01-09 11:23:39.224702,inf
2024-01-09 11:23:40.224898,inf
2024-01-09 11:23:41.225381,inf
2024-01-09 11:23:42.225411,inf
2024-01-09 11:23:43.225492,inf
2024-01-09 11:23:44.225554,inf
2024-01-09 11:23:45.225756,inf
2024-01-09 11:23:46.226052,inf
2024-01-09 11:23:47.226528,inf
2024-01-09 11:23:48.226637,inf
2024-01-09 11:23:49.228500,inf
2024-01-09 11:23:50.228824,inf
2024-01-09 11:23:51.229174,inf
2024-01-09 11:23:52.229525,inf
2024-01-09 11:23:53.229587,inf
2024-01-09 11:23:54.229853,inf
2024-01-09 11:23:55.229972,inf
2024-01-09 11:23:56.230139,inf
2024-01-09 11:23:57.230473,inf
2024-01-09 11:23:58.230952,inf
2024-01-09 11:23:59.231044,inf
2024-01-09 11:24:00.231241,inf
2024-01-09 11:24:01.231416,inf
2024-01-09 11:24:02.231620,inf
2024-01-09 11:24:03.231963,inf
2024-01-09 11:24:04.232300,inf
2024-01-09 11:24:05.232317,inf
2024-01-09 11:24:06.232646,inf
2024-01-09 11:24:07.233633,inf
2024-01-09 11:24:08.234077,inf
2024-01-09 11:24:09.234399,inf
2024-01-09 11:24:10.234447,inf
2024-01-09 11:24:11.235131,inf
2024-01-09 11:24:12.235373,inf
2024-01-09 11:24:13.235419,inf
2024-01-09 11:24:14.235936,inf
2024-01-09 11:24:15.236197,inf
2024-01-09 11:24:16.236383,inf
2024-01-09 11:24:17.236542,inf
2024-01-09 11:24:18.237301,inf
2024-01-09 11:24:19.237405,inf
2024-01-09 11:24:20.238001,inf
2024-01-09 11:24:21.238131,inf
2024-01-09 11:24:22.238230,inf
2024-01-09 11:24:23.238640,inf
2024-01-09 11:24:24.238652,inf
2024-01-09 11:24:25.238680,inf
2024-01-09 11:24:26.239750,inf
2024-01-09 11:24:27.239843,inf
2024-01-09 11:24:28.240421,inf
2024-01-09 11:24:29.240860,inf
2024-01-09 11:24:30.241372,inf
2024-01-09 11:24:31.241406,inf
2024-01-09 11:24:32.243197,inf
2024-01-09 11:24:33.243252,inf
2024-01-09 11:24:34.243537,inf
2024-01-09 11:24:35.249806,inf
2024-01-09 11:24:36.249847,inf
2024-01-09 11:24:37.250379,inf
2024-01-09 11:24:38.250983,inf
2024-01-09 11:24:39.251147,inf
2024-01-09 11:24:40.251272,inf
2024-01-09 11:24:41.251434,inf
2024-01-09 11:24:42.251466,inf
2024-01-09 11:24:43.251786,inf
2024-01-09 11:24:44.251799,inf
2024-01-09 11:24:45.252071,inf
2024-01-09 11:24:46.252182,inf
2024-01-09 11:24:47.252523,inf
2024-01-09 11:24:48.252646,inf
2024-01-09 11:24:49.252890,inf
2024-01-09 11:24:50.253134,inf
2024-01-09 11:24:51.253165,inf
2024-01-09 11:24:52.253471,inf
2024-01-09 11:24:53.253746,inf
2024-01-09 11:24:54.253957,inf
2024-01-09 11:24:55.254289,inf
2024-01-09 11:24:56.254413,inf
2024-01-09 11:24:57.254872,inf
2024-01-09 11:24:58.255001,inf
2024-01-09 11:24:59.255866,inf
2024-01-09 11:25:00.256040,inf
2024-01-09 11:25:01.256873,inf
2024-01-09 11:25:02.256879,inf
2024-01-09 11:25:03.257122,inf
2024-01-09 11:25:04.257438,inf
2024-01-09 11:25:05.257970,inf
2024-01-09 11:25:06.259815,inf
2024-01-09 11:25:07.260601,inf
2024-01-09 11:25:08.261036,inf
2024-01-09 11:25:09.261090,inf
2024-01-09 11:25:10.261259,inf
2024-01-09 11:25:11.261504,inf
2024-01-09 11:25:12.261663,inf
2024-01-09 11:25:13.262465,inf
2024-01-09 11:25:14.262549,inf
2024-01-09 11:25:15.263952,inf
2024-01-09 11:25:16.266655,inf
2024-01-09 11:25:17.268085,inf
2024-01-09 11:25:18.268342,inf
2024-01-09 11:25:19.268507,inf
2024-01-09 11:25:20.268625,inf
2024-01-09 11:25:21.268698,inf
2024-01-09 11:25:22.268997,inf
2024-01-09 11:25:23.269292,inf
2024-01-09 11:25:24.269345,inf
2024-01-09 11:25:25.269454,inf
2024-01-09 11:25:26.269799,inf
2024-01-09 11:25:27.269888,inf
2024-01-09 11:25:28.270114,inf
2024-01-09 11:25:29.270475,inf
2024-01-09 11:25:30.270812,inf
2024-01-09 11:25:31.270839,inf
2024-01-09 11:25:32.271884,inf
2024-01-09 11:25:33.271941,inf
2024-01-09 11:25:34.272801,inf
2024-01-09 11:25:35.272960,inf
2024-01-09 11:25:36.274214,inf
2024-01-09 11:25:37.274481,inf
2024-01-09 11:25:38.275580,inf
2024-01-09 11:25:39.275756,inf
2024-01-09 11:25:40.276825,inf
2024-01-09 11:25:41.277081,inf
2024-01-09 11:25:42.355388,inf
2024-01-09 11:25:43.355869,inf
2024-01-09 11:25:44.356093,inf
2024-01-09 11:25:45.356342,inf
2024-01-09 11:25:46.356457,inf
